##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Aug. 9, 2016, 10:12 a.m.
## Download Date (Y/M/D): 2016/10/17
##
## Query String: {&quot;sort&quot;:&quot;p&quot;,&quot;kics&quot;:[],&quot;campaign&quot;:[&quot;5&quot;,&quot;4&quot;,&quot;1&quot;,&quot;0&quot;,&quot;3&quot;,&quot;2&quot;,&quot;-1&quot;],&quot;etvlong&quot;:true,&quot;cols&quot;:[&quot;sdepth&quot;,&quot;glon&quot;,&quot;scdata&quot;,&quot;camp&quot;,&quot;pteff&quot;,&quot;ra&quot;,&quot;bjd0&quot;,&quot;flags&quot;,&quot;morph&quot;,&quot;glat&quot;,&quot;n&quot;,&quot;pdepth&quot;,&quot;kic&quot;,&quot;lcdata&quot;,&quot;dec&quot;,&quot;koiid&quot;,&quot;keff&quot;,&quot;cteff&quot;,&quot;p&quot;,&quot;sep&quot;,&quot;pwidth&quot;,&quot;swidth&quot;,&quot;bjd0err&quot;,&quot;perr&quot;,&quot;kmag&quot;],&quot;etvshort&quot;:true,&quot;ra&quot;:{&quot;max&quot;:360.0,&quot;min&quot;:0.0},&quot;incat1&quot;:true,&quot;kois&quot;:[]}
##
EPIC,camp,KOI,Mult,period,period_err,bjd0,bjd0_err,pdepth,sdepth,pwidth,swidth,sep,morph,ra,dec,GLon,GLat,kmag,Teff,Teff(Pinsonneault),Teff(Casagrande),SC,
211900142,K2C5,-1,1,0.3714727,0.0000188,2457139.999140,0.022516,0.1246,0.1060,0.1968,0.2020,0.5042,0.88,132.8026,18.7290,-1.0000,-1.0000,14.9900,-1.0000,-1.0000,-1.0000,False,
206058387,K2C3,-1,1,0.3754346,0.0000221,2456979.728250,0.021915,0.2069,0.1413,0.2459,0.1418,0.5048,0.83,330.2105,-13.1988,-1.0000,-1.0000,12.6940,-1.0000,-1.0000,-1.0000,False,
202083924,K2C0,-1,1,0.3783822,0.0000608,56774.363170,0.008913,0.2069,0.1466,0.1029,0.1066,0.4987,0.59,90.3502,23.2636,-1.0000,-1.0000,14.0000,-1.0000,-1.0000,-1.0000,False,
210433146,K2C4,-1,1,0.3802976,-1,2457062.136940,0.024118,0.3081,0.2851,0.1481,0.1859,0.4978,0.82,60.8132,14.1923,-1.0000,-1.0000,11.6050,-1.0000,-1.0000,-1.0000,False,
204882444,K2C2,-1,1,0.3829073,0.0000183,56893.455574,0.065706,0.1122,-1.0000,0.1716,-1.0000,1.0000,0.72,238.7714,-20.4355,-1.0000,-1.0000,13.9660,-1.0000,-1.0000,-1.0000,False,
202073346,K2C0,-1,1,0.3842341,0.0000618,56774.463859,0.021470,0.1078,0.1185,0.1090,0.1205,0.4977,0.76,99.3173,27.1068,-1.0000,-1.0000,12.5000,-1.0000,-1.0000,-1.0000,False,
210577546,K2C4,-1,1,0.3924378,0.0000226,2457063.351130,0.023076,0.2190,0.1671,0.1363,0.1158,0.4972,0.75,55.4345,16.6345,-1.0000,-1.0000,12.4640,-1.0000,-1.0000,-1.0000,False,
60017969,K2E,-1,1,0.3929369,0.0006381,55002.448559,0.007749,0.1828,0.2236,0.1012,0.0408,0.5125,0.56,356.4243,0.4392,-1.0000,-1.0000,19.1510,-1.0000,-1.0000,-1.0000,False,
211948599,K2C5,-1,1,0.3949094,0.0000204,2457139.753370,0.017328,0.0575,0.0464,0.1582,0.1506,0.4972,0.68,125.1532,19.4522,-1.0000,-1.0000,12.9450,-1.0000,-1.0000,-1.0000,False,
211719362,K2C5,-1,1,0.4021919,0.0000211,2457141.282450,0.010094,0.0039,0.0035,0.1229,0.1222,0.4988,0.61,130.4093,16.1763,-1.0000,-1.0000,10.4810,-1.0000,-1.0000,-1.0000,False,
